,start_time,end_time,sid
0,0.0,0.151037,1
1,2.051534,2.351534,1
2,3.401534,3.59114,1
3,3.59114,3.804775,1
4,3.804775,3.968643,1
5,3.968643,4.405624,1
6,4.405624,4.76856,1
7,4.76856,5.057453,1
8,5.434956,5.561498,1
9,5.561534,5.951534,1
10,5.951534,6.461534,1
11,6.461534,6.671534,1
12,6.671534,7.061534,1
13,10.481534,10.841534,1
14,10.871534,11.321534,1
15,11.321534,11.471534,1
16,11.471534,11.861534,1
17,11.891534,12.371534,1
18,12.521534,12.791534,1
19,12.791534,12.881534,1
20,12.881534,13.031534,1
21,13.031534,13.301534,1
22,13.301534,13.571534,1
23,13.571534,13.841534,1
24,13.841534,14.051534,1
25,14.501534,14.621534,1
26,14.621534,14.771534,1
27,14.771534,14.951534,1
28,14.951534,15.303435,1
29,15.303435,15.429674,1
30,15.429674,15.58019,1
31,16.585245,16.791597,1
32,16.871534,17.111534,1
33,17.111534,17.441534,1
34,17.4762,17.667986,1
35,17.667986,17.920464,1
36,17.692263,17.869483,1
37,17.920464,18.461534,1
38,18.491534,18.641534,1
39,18.671534,18.821534,1
40,18.821534,19.181534,1
41,19.181534,19.481534,1
42,20.891534,21.371534,1
43,21.371534,21.461534,1
44,21.461534,21.581534,1
45,21.581534,21.911534,1
46,21.911534,22.031534,1
47,22.031534,22.361534,1
48,22.361534,22.661534,1
49,22.661534,23.351534,1
50,23.351534,23.471534,1
51,23.471534,24.071534,1
52,24.071534,24.311534,1
53,24.641534,25.241534,1
54,25.241534,25.361534,1
55,25.361534,25.451534,1
56,25.451534,25.691534,1
57,25.691534,25.842717,1
58,25.842717,26.201534,1
59,26.801534,26.951534,1
60,26.951534,26.981534,1
61,26.981534,27.161534,1
62,27.161534,27.371534,1
63,27.371534,27.521534,1
64,27.521534,27.641534,1
65,27.641534,27.821534,1
66,27.821534,28.091534,1
67,28.661534,28.841534,1
68,28.841534,28.961534,1
69,28.961534,29.111534,1
70,29.111534,29.171534,1
71,29.171534,29.441534,1
72,29.441534,29.591534,1
73,29.591534,29.771534,1
74,29.771534,29.891534,1
75,29.891534,29.981534,1
76,29.981534,30.431534,1
77,30.521534,30.881534,1
78,31.121534,31.299354,1
79,31.299354,31.415882,1
80,32.411534,32.591534,1
81,32.591534,32.770522,1
82,32.771534,32.929715,1
83,32.929715,33.041534,1
84,33.281534,33.401534,1
85,33.401534,33.881534,1
86,33.881534,34.091534,1
87,34.091534,34.511534,1
88,34.541534,34.661534,1
89,34.66316,34.931534,1
90,34.931534,35.231534,1
91,35.471534,35.801534,1
92,37.541534,37.691534,1
93,37.691534,37.811534,1
94,37.811534,38.441534,1
95,39.941534,40.511534,1
96,42.221534,42.401534,1
97,42.401534,42.521534,1
98,42.521534,42.671534,1
99,42.671534,42.731534,1
100,42.731534,43.181534,1
101,43.181534,43.421534,1
102,43.421534,43.481534,1
103,43.481534,43.871534,1
104,43.871534,43.991534,1
105,43.991534,44.081534,1
106,44.081534,44.338371,1
107,44.338371,44.392387,1
108,44.392387,44.502239,1
109,44.502239,44.681534,1
110,44.921534,45.037733,1
111,45.036933,45.100734,1
112,45.101534,45.283394,1
113,45.283394,45.53764,1
114,45.315389,45.615389,0
115,47.064038,47.215767,1
116,47.215767,47.471534,1
117,47.531534,47.741534,1
118,47.741534,47.921534,1
119,47.921534,48.096297,1
120,48.045389,48.345389,0
121,48.971534,49.121534,1
122,49.121534,49.241534,1
