,start_time,end_time,sid
0,156.192931,156.413931,0
1,156.418353,156.541193,0
2,156.541193,156.66184,0
3,156.662931,156.957972,0
4,156.957972,157.352931,0
5,158.042931,158.102931,0
6,158.102931,158.192931,0
7,158.192931,158.432931,0
8,158.432931,158.552931,0
9,158.552931,158.762931,0
10,158.762931,159.092931,0
11,159.092931,159.422931,0
12,160.252718,160.442931,0
13,160.442931,160.682931,0
14,160.682931,160.982931,0
15,161.011694,161.176212,0
16,161.176212,161.737766,0
17,161.737766,161.889123,0
18,161.889123,162.092931,0
19,162.092931,162.272931,0
20,162.272931,162.452931,0
21,162.452931,162.632931,0
22,162.632931,162.782931,0
23,162.808229,163.053909,0
24,163.052931,163.442931,0
25,163.982931,164.102931,0
26,164.102931,164.342931,0
27,164.342931,164.432931,0
28,164.432931,164.648637,0
29,164.648637,164.791219,0
30,164.791219,165.002931,0
31,165.743229,165.883618,0
32,165.883618,166.022931,0
33,166.022931,166.232931,0
34,166.262931,166.442931,0
35,166.442931,166.652931,0
36,166.652931,166.832931,0
37,166.832931,167.042931,1
38,167.042931,167.252931,1
39,167.312931,167.702931,1
40,167.702931,167.822931,1
41,167.822931,167.972931,1
42,167.972931,168.122931,1
43,168.122931,168.272931,1
44,168.272931,168.512931,1
45,168.512931,168.692931,1
46,168.692931,168.962931,1
47,169.165202,169.674111,0
48,169.712931,169.892931,1
49,169.892931,170.252931,1
50,170.402931,170.672931,1
51,170.702931,170.852931,1
52,170.852931,171.002931,1
53,171.002931,171.242931,1
54,171.272931,171.392931,1
55,171.392931,171.512931,1
56,171.512931,171.632931,1
57,171.662931,171.932931,1
58,171.932931,172.052931,1
59,172.052931,172.292931,1
60,172.292931,172.592931,1
61,172.592931,172.862931,0
62,172.892931,173.192931,1
63,173.27815,173.479959,0
64,173.495314,174.002931,0
65,174.002931,174.092931,0
66,174.092931,174.242931,0
67,174.242931,174.332931,0
68,174.332931,174.632931,0
69,174.632931,174.859716,0
70,174.859598,174.897006,0
71,174.897006,175.008878,0
72,175.008878,175.217268,0
73,175.217268,175.287462,0
74,175.287462,175.333527,0
75,175.333527,175.368624,0
76,175.368624,175.800758,0
77,175.959798,176.469798,0
78,176.487346,176.700123,0
79,176.700123,176.901931,0
80,176.945803,177.362931,0
81,177.452931,177.932931,0
82,177.932931,178.022931,0
83,178.022931,178.262931,0
84,178.532931,178.652931,0
85,178.652931,178.862931,0
86,178.922995,179.132951,0
87,179.132951,179.342931,0
88,179.345513,179.642931,0
89,179.642931,179.672942,0
90,179.672942,179.912931,0
91,179.912931,180.152775,0
92,180.152775,180.422931,0
93,180.422931,180.542931,0
94,180.542931,180.842931,0
95,180.842931,181.382931,0
96,181.72779,181.881341,0
97,181.881341,181.960309,0
98,181.960309,182.133601,0
99,182.133601,182.252054,0
100,182.252054,182.513089,0
101,182.609607,182.995675,0
102,183.050515,183.245742,0
103,183.245742,183.574778,0
104,183.574778,184.028848,0
105,184.131946,184.252592,0
106,184.252592,184.410529,0
107,184.410529,184.548724,0
108,184.548724,184.711049,0
109,184.711049,184.917245,0
110,184.982931,185.252931,0
111,185.252931,185.792931,0
112,186.599715,186.731329,0
113,186.731329,187.023074,0
114,187.023074,187.123978,0
115,187.123978,187.257786,0
116,187.257786,187.417917,0
117,187.417917,187.786437,0
118,187.786437,188.387476,0
119,188.642931,188.777932,0
120,188.777932,188.920514,0
121,188.920514,189.041161,0
122,189.041161,189.122931,0
123,189.122931,189.359228,0
124,189.359228,189.392931,0
125,189.392132,189.782588,0
126,189.782931,189.872931,0
127,189.872931,190.112931,0
128,190.112931,190.382931,0
129,191.222931,191.462931,0
130,191.462931,191.732931,0
131,191.732931,192.362931,0
132,192.362931,192.572931,0
133,192.572931,192.812931,0
134,193.052931,193.410851,0
135,193.412931,193.592931,0
136,193.592931,194.079796,0
137,194.162931,194.654512,0
138,194.654512,194.873869,0
139,194.942931,195.182931,1
140,195.182931,195.422931,1
141,195.446392,195.652587,1
142,195.652587,195.77104,1
143,195.842931,196.083726,1
144,196.083726,196.292931,1
145,196.292931,196.382931,0
146,196.382931,196.562931,0
147,196.562931,196.821761,0
148,196.821761,196.922931,0
149,196.922931,197.162931,0
150,197.162931,197.402931,0
151,197.402931,197.694461,0
152,197.806675,198.214627,0
153,198.756492,198.911438,0
154,198.911438,199.052931,0
155,199.052931,199.352931,0
156,199.352931,199.742931,0
157,200.102931,200.248121,0
158,200.248121,200.408252,0
159,200.408252,200.702931,0
160,200.732931,200.972931,0
161,200.972931,201.092931,0
162,201.092931,201.265939,0
163,201.265939,201.619104,0
164,201.619104,202.172931,0
165,202.83215,203.733708,0
166,203.733708,204.067131,0
167,204.067131,204.286488,0
168,204.286488,204.452931,0
169,204.452931,204.633072,0
170,204.633072,204.782931,0
171,204.782931,205.022931,0
172,205.022931,205.352931,0
173,205.412931,205.742931,0
174,206.335285,206.440576,0
175,206.440576,206.556835,0
176,206.556835,206.736708,0
177,206.736708,206.912194,0
178,206.912194,207.120583,0
179,207.120583,207.658009,0
180,207.721622,208.087949,0
181,208.24808,208.322661,0
182,208.322661,208.511308,0
183,208.511308,208.605632,0
184,208.605632,208.706536,0
185,208.706536,208.809634,0
186,208.809634,209.224219,0
187,209.283446,209.498416,0
188,209.498416,209.711192,0
