,start_time,end_time,sid
0,56.236128,56.405266,1
1,56.405266,56.569833,1
2,58.685632,59.046208,1
3,59.046208,59.105632,1
4,59.105632,59.281631,1
5,59.281631,59.465632,1
6,59.465632,59.825632,1
7,64.730635,65.087197,1
8,65.087197,65.334048,1
9,65.69061,66.412878,1
10,69.145514,69.419792,1
11,69.419792,69.79464,1
12,73.579686,73.927106,1
13,73.927106,74.345632,1
14,74.345632,74.705632,1
15,76.085632,76.385632,1
16,76.385632,76.535632,1
17,76.535632,76.925632,1
18,77.765632,77.855632,1
19,77.855632,78.155632,1
20,78.155632,78.335632,1
21,78.365632,78.545632,1
22,78.545632,78.665632,1
23,78.665632,78.725632,1
24,78.725632,78.982978,1
25,78.982978,79.085632,1
26,79.085632,79.205632,1
27,79.205632,79.325632,1
28,79.325632,79.565632,1
29,81.005632,81.705632,1
30,99.337603,99.520455,1
31,99.520455,99.805019,1
32,100.265632,100.325632,1
33,100.325632,100.415632,1
34,100.415632,100.745632,1
35,100.745632,100.865632,1
36,101.862396,102.095532,2
37,102.095532,102.209815,2
38,102.209815,102.333241,2
39,102.333241,102.534378,0
40,102.534378,102.708088,0
41,102.708088,102.868084,0
42,102.868084,102.935632,0
43,102.935632,103.235632,0
44,103.235632,103.617779,0
45,103.69092,103.901201,2
46,104.033769,104.21205,1
47,104.21205,104.413188,1
48,106.055632,106.265632,1
49,106.265632,106.535632,1
50,106.535632,106.805632,1
51,106.805632,107.165632,1
52,107.165632,107.225632,1
53,107.225632,107.405632,1
54,107.405632,107.585632,1
55,107.585632,107.855632,1
56,107.855632,107.945632,1
57,107.945632,108.170806,1
58,108.175378,108.289661,1
59,108.21652,108.330802,2
60,108.445085,108.527369,2
61,108.629081,108.703364,2
62,108.635632,108.995632,1
63,123.875632,124.385632,1
64,131.495632,131.585632,1
65,131.585632,131.735632,1
66,131.735632,131.885632,1
67,131.885632,132.005632,1
68,132.005632,132.155632,1
69,132.155632,132.275632,1
70,132.275632,132.395632,1
71,132.395632,132.575632,1
72,132.575632,132.755632,1
73,133.445632,133.715632,1
74,133.715632,133.775632,1
75,133.775632,134.075632,1
76,134.075632,134.345632,1
77,134.345632,134.615632,1
78,134.615632,134.885632,1
79,134.885632,135.185632,1
80,135.187262,136.092382,1
81,136.106096,136.526657,0
