,start_time,end_time,sid
0,3.592,3.772,1
1,4.492,4.752,1
2,4.772,4.992,1
3,5.012,5.132,1
4,5.192,5.253,1
5,5.533,5.613,1
6,5.633,5.733,1
7,5.753,5.853,1
8,5.873,6.073,1
9,6.093,6.453,1
10,7.053,7.933,0
11,8.754,8.934,1
12,9.094,9.174,1
13,9.194,9.394,1
14,9.414,9.474,1
15,9.514,9.574,1
16,9.614,9.874,1
17,9.954,10.294,1
18,10.334,10.714,1
19,10.914,10.994,1
20,11.014,11.134,1
21,11.154,11.294,1
22,11.314,11.414,1
23,11.454,11.634,1
24,11.995,12.235,0
25,12.255,12.435,0
26,12.475,12.775,1
27,13.375,13.655,1
28,13.795,14.535,1
29,14.555,14.695,1
30,14.735,15.095,1
31,15.135,15.296,1
32,15.336,15.496,1
33,15.816,15.876,1
34,15.896,15.976,1
35,15.996,16.116,1
36,16.136,16.236,1
37,16.256,16.336,1
38,16.376,16.636,1
39,17.256,17.516,1
40,18.056,18.216,0
41,18.236,18.456,0
42,18.477,18.577,0
43,18.597,18.757,1
44,18.777,18.877,1
45,18.897,18.977,1
46,18.997,19.117,1
47,19.157,19.237,1
48,19.257,19.357,0
49,19.377,19.477,0
50,19.537,19.877,0
51,19.997,20.137,0
52,20.217,20.437,0
53,20.857,20.917,0
54,20.937,21.077,0
55,21.117,21.177,0
56,21.217,21.277,0
57,21.297,21.517,0
58,21.537,21.637,0
59,21.657,21.978,0
60,23.298,23.418,1
61,23.438,23.698,1
62,23.718,23.818,1
63,23.838,23.958,1
64,23.978,24.078,1
65,24.098,24.158,1
66,24.178,24.258,1
67,24.278,24.538,1
68,25.839,25.959,0
69,26.039,26.319,0
70,26.919,27.199,0
71,27.519,27.839,1
72,28.159,28.419,1
73,28.8,28.86,1
74,28.9,29.0,1
75,29.02,29.28,1
76,29.32,29.58,1
77,30.74,30.78,1
78,30.82,30.94,1
79,30.96,31.4,1
80,31.56,31.72,1
81,31.86,31.98,1
82,32.0,32.02,1
83,32.1,32.881,1
84,33.021,33.221,1
85,33.261,34.041,1
86,34.461,34.541,0
87,34.561,34.761,0
88,34.821,34.981,0
89,35.041,35.241,0
90,35.301,35.541,0
91,35.761,35.862,0
92,35.902,36.582,0
93,36.642,36.742,0
94,36.782,36.902,0
95,36.922,37.062,0
96,37.122,37.162,0
97,37.202,37.282,0
98,37.342,37.722,0
99,38.102,38.382,1
100,38.522,38.802,1
101,39.142,39.242,1
102,39.282,39.342,1
103,39.983,40.343,1
104,40.543,40.823,1
105,40.843,41.143,1
106,41.283,41.563,1
107,41.603,41.683,1
108,41.723,41.863,1
109,42.003,42.243,1
110,42.283,42.563,1
111,42.623,42.703,1
112,42.743,42.904,1
113,42.924,43.104,1
114,43.484,43.584,1
115,43.604,43.724,1
116,43.744,43.844,1
117,43.864,44.184,1
118,44.764,44.924,0
119,45.284,45.344,0
120,45.404,45.604,0
121,45.864,46.264,0
122,47.065,47.545,0
123,47.745,48.185,0
124,48.205,48.285,0
125,48.345,48.805,0
126,48.905,49.105,0
127,49.145,49.345,0
128,49.445,49.926,0
129,51.466,51.606,0
130,51.666,51.786,0
131,51.846,52.006,0
132,52.026,52.426,0
133,52.446,52.566,0
134,52.626,53.086,0
135,53.146,53.286,0
136,53.347,53.427,0
137,53.447,53.667,0
138,53.727,54.107,0
139,54.387,54.467,0
140,54.507,54.787,0
141,55.447,55.767,1
142,56.387,56.527,1
143,56.567,56.687,1
144,56.707,56.808,1
145,56.828,56.888,1
146,56.908,56.968,1
147,57.008,57.328,1
148,57.368,57.528,1
149,57.608,58.048,1
150,58.288,58.348,1
151,58.853,59.013,0
152,59.193,59.333,0
153,59.373,59.533,0
154,59.573,59.713,0
155,59.733,59.873,0
156,59.893,60.013,0
157,60.033,60.053,0
158,60.093,60.273,0
159,60.494,60.554,1
160,60.594,60.834,1
161,61.354,61.534,1
162,61.554,61.594,1
163,61.634,61.994,1
164,62.614,62.734,0
165,63.394,63.675,0
166,63.735,64.135,0
167,65.195,65.255,0
168,65.275,65.375,0
169,65.415,65.575,0
170,65.595,66.035,0
171,66.095,66.335,0
172,66.415,66.836,0
173,66.856,67.136,0
174,67.656,67.756,0
175,68.016,68.096,0
176,68.136,68.316,0
177,68.376,68.616,0
178,68.716,68.976,0
179,69.036,69.116,0
180,69.156,69.336,0
181,69.376,69.596,0
182,69.636,69.857,0
183,70.697,70.717,1
184,70.757,70.857,1
185,70.897,70.977,1
186,70.997,71.157,1
187,71.177,71.277,1
188,71.297,71.417,1
189,71.457,71.697,1
190,71.737,71.937,1
191,72.017,72.117,1
192,72.237,72.337,1
193,72.357,72.417,1
194,72.457,72.557,1
195,72.577,72.697,1
196,72.717,72.797,1
197,72.817,72.877,0
198,72.897,72.978,0
199,73.018,73.218,0
200,73.278,73.358,0
201,73.438,73.518,0
202,73.558,73.638,0
203,73.698,73.798,0
204,74.238,74.598,0
205,75.358,75.598,1
206,75.918,76.058,1
207,76.359,76.479,1
208,76.519,76.779,1
209,76.899,77.079,1
210,77.259,77.359,1
211,77.639,77.759,0
212,77.779,77.879,0
213,77.959,78.059,0
214,78.079,78.219,0
215,78.239,78.339,0
216,78.379,78.439,0
217,78.459,78.659,0
218,79.36,79.46,1
219,79.58,79.68,1
220,79.86,80.38,1
221,80.44,80.52,1
222,80.56,80.62,1
223,80.64,80.78,1
224,80.82,81.02,1
225,81.06,81.28,1
226,81.96,82.2,1
227,82.28,82.34,1
228,82.38,82.901,1
229,82.961,83.041,1
230,83.081,83.581,1
231,83.621,83.761,1
232,83.781,83.841,1
233,83.881,84.321,1
234,85.301,85.682,0
235,85.822,85.902,1
236,85.942,86.142,1
237,86.202,86.382,1
238,86.482,86.662,1
239,86.842,86.922,1
240,88.23,88.39,1
241,88.41,88.49,1
242,88.55,88.95,1
243,89.231,89.311,1
244,89.331,89.371,1
245,89.391,89.471,1
246,89.511,89.851,1
247,89.991,90.371,1
248,90.451,90.531,1
249,90.771,90.972,1
250,91.092,91.292,1
251,91.412,91.732,1
252,91.752,91.932,1
253,91.992,92.372,1
254,92.392,92.412,1
255,92.472,92.633,1
256,92.673,92.793,1
257,92.833,93.173,1
258,93.213,93.333,1
259,93.353,93.433,1
260,93.473,93.693,1
261,93.733,93.793,1
262,93.813,94.013,1
263,94.073,94.313,1
264,94.494,94.674,1
265,95.014,95.094,1
266,95.114,95.154,1
267,95.174,95.274,1
268,95.294,95.454,1
269,95.514,95.834,1
270,95.874,96.014,1
271,96.074,96.095,1
272,96.155,96.295,1
273,96.335,96.415,1
274,96.455,96.775,1
275,96.835,96.955,1
276,96.975,97.095,1
277,97.135,97.495,1
278,98.776,98.936,0
279,98.976,99.156,0
280,99.216,99.516,0
281,99.717,100.277,1
282,100.417,100.557,1
283,100.617,100.677,1
284,100.717,100.777,1
285,100.917,101.337,1
286,101.458,102.198,1
287,102.578,102.718,1
288,102.738,102.838,1
289,102.858,102.938,1
290,102.978,103.118,1
291,103.138,103.339,1
292,103.359,103.659,1
293,104.319,104.399,1
294,104.419,104.619,1
295,104.659,105.3,1
296,105.44,105.56,1
297,105.58,106.4,0
298,106.56,106.821,0
299,106.861,107.021,0
300,107.061,107.221,0
301,107.341,107.561,0
302,107.601,107.861,0
303,107.921,108.001,0
304,108.041,108.221,0
305,108.261,108.722,0
306,108.782,109.002,0
307,109.042,109.222,0
308,109.715,109.895,0
309,109.935,110.175,0
310,110.235,110.295,0
311,110.315,110.375,0
312,110.395,110.696,0
313,111.316,111.496,1
314,111.536,111.696,1
315,111.976,112.037,1
316,112.057,112.257,1
317,112.337,112.637,1
318,112.897,112.957,1
319,112.977,113.177,1
320,113.217,113.297,1
321,113.337,113.698,1
322,114.158,114.398,1
323,114.438,114.518,1
324,114.538,114.658,1
325,114.678,114.838,1
326,115.299,115.519,1
327,115.719,115.919,1
328,115.979,116.239,1
329,116.359,116.599,1
330,116.619,116.639,1
331,116.699,117.06,1
332,117.84,118.02,1
333,118.04,118.12,1
334,118.501,118.901,1
335,118.921,119.221,1
336,119.361,119.481,1
337,119.581,119.841,1
338,120.342,120.582,1
339,121.082,121.342,1
340,121.462,121.663,1
341,121.703,121.903,1
342,121.923,122.203,1
343,122.263,122.363,1
344,122.403,122.663,1
345,122.683,122.763,1
346,122.983,123.063,1
347,123.103,123.304,1
348,123.344,123.544,1
349,123.604,123.804,1
350,123.824,123.864,1
351,123.904,123.964,1
352,123.984,124.084,1
353,124.104,124.184,1
354,124.204,124.244,1
355,124.284,124.384,1
356,124.424,124.584,1
357,124.624,124.684,1
358,124.764,124.824,1
359,125.385,125.725,1
360,126.546,126.626,1
361,126.666,126.746,1
362,126.806,127.026,1
363,127.066,127.126,1
364,127.266,127.346,1
365,127.426,127.906,1
366,128.006,128.127,1
367,128.167,128.207,1
368,128.247,128.467,1
369,128.947,129.067,0
370,129.327,129.627,0
371,129.788,129.808,0
372,129.828,130.008,0
373,130.048,130.188,0
374,130.208,130.508,0
375,130.528,130.648,0
376,130.728,130.988,0
377,131.008,131.289,0
378,131.469,131.689,1
379,132.389,132.749,1
380,132.829,133.07,1
381,133.13,133.29,1
382,133.31,133.39,1
383,133.41,133.55,1
384,133.63,133.89,1
385,133.91,134.09,1
386,134.13,134.23,1
387,134.27,134.47,1
388,134.951,135.071,1
389,135.091,135.191,1
390,135.211,135.251,1
391,135.271,135.351,1
392,135.391,135.731,1
393,135.751,135.891,1
394,135.911,136.071,0
395,136.191,136.412,0
396,136.472,136.672,0
397,136.692,136.852,0
398,136.872,136.972,0
399,137.032,137.372,0
400,137.412,137.492,0
401,137.532,137.732,0
402,137.912,138.153,0
403,138.193,138.273,0
404,138.313,138.553,0
405,138.633,138.853,1
406,138.893,139.153,1
407,140.534,140.674,1
408,140.714,140.914,1
409,140.954,141.154,1
410,141.194,141.375,1
411,141.395,141.455,1
412,141.635,141.815,1
413,141.855,142.175,1
414,142.715,142.975,1
415,142.995,143.015,1
416,143.096,143.256,1
417,143.296,143.376,1
418,143.416,143.576,1
419,143.616,143.716,1
420,143.756,143.916,1
421,143.976,144.176,1
422,144.236,144.356,1
423,144.376,144.536,1
424,144.737,144.897,1
425,144.977,145.117,1
426,145.157,145.317,1
427,145.337,145.717,1
428,145.777,145.857,1
429,145.877,145.917,1
430,145.977,146.137,1
431,146.157,146.397,1
432,146.458,146.678,1
433,147.138,148.699,0
434,148.719,148.759,1
435,149.179,149.359,1
436,149.399,149.619,1
437,149.659,149.8,1
438,150.6,151.06,1
439,151.1,151.22,1
440,151.24,151.661,1
441,151.681,151.821,1
442,151.981,152.221,1
443,152.241,152.401,1
444,152.461,152.621,1
445,152.641,152.801,1
446,153.422,153.542,1
447,153.562,153.642,1
448,153.682,153.982,1
449,155.143,155.283,1
450,155.323,155.463,1
451,155.503,155.583,1
452,155.623,155.783,1
453,155.843,156.083,1
454,156.684,156.984,1
455,157.024,157.124,1
456,157.164,157.404,1
457,157.424,157.444,1
458,157.504,157.844,1
459,158.685,158.825,1
460,158.925,159.025,1
461,161.332,161.432,0
462,161.452,161.492,0
463,161.532,161.652,0
464,161.692,161.752,0
465,161.812,162.152,0
466,162.192,162.372,0
467,162.412,162.772,0
468,164.073,164.313,0
469,164.353,164.653,0
470,166.573,166.633,0
471,166.673,166.793,0
472,166.833,166.973,0
473,167.013,167.313,0
474,167.353,167.433,0
475,167.493,167.713,0
476,167.753,167.813,0
477,167.853,168.113,0
478,168.153,168.293,0
479,168.313,168.413,0
480,168.473,168.533,0
481,168.553,168.693,0
482,168.713,169.133,0
483,171.314,171.414,0
484,171.454,171.834,0
485,172.054,172.294,1
486,172.374,172.754,1
487,172.774,172.874,1
488,172.894,172.994,1
489,173.014,173.114,1
490,173.154,173.314,1
491,173.374,173.654,1
492,173.934,174.014,1
493,174.054,174.294,1
494,174.394,174.654,1
495,174.714,174.914,1
496,174.994,175.095,1
497,175.115,175.455,1
498,175.475,176.335,1
499,176.775,176.875,1
500,176.895,177.035,1
501,177.055,177.155,1
502,177.295,177.395,1
503,177.435,177.575,1
504,177.675,177.755,1
505,177.775,178.155,1
506,178.755,178.855,0
507,178.875,179.295,0
508,179.595,179.655,0
509,179.695,179.935,0
510,179.995,180.355,0
511,180.415,180.636,0
512,180.656,180.856,0
513,180.896,181.196,0
514,181.236,181.296,0
515,181.336,181.396,0
516,181.436,181.796,0
517,182.256,182.376,1
518,182.416,182.716,1
519,182.876,183.056,1
520,183.236,185.916,1
521,185.976,186.117,1
522,186.137,186.237,1
523,186.277,186.397,1
524,186.417,186.497,1
525,186.537,186.697,1
526,186.737,186.917,1
527,187.177,187.537,1
528,187.577,187.617,1
529,187.677,187.717,1
530,187.757,187.917,1
531,187.957,188.257,1
532,188.277,188.557,1
533,189.59,189.65,0
534,189.73,190.031,0
535,190.631,190.731,0
536,191.212,191.492,0
537,191.672,192.052,0
538,192.092,192.132,0
539,192.193,192.373,0
540,192.393,192.453,0
541,192.473,192.553,0
542,192.573,192.653,0
543,192.673,192.833,0
544,192.853,193.113,0
545,194.515,195.015,1
546,195.095,195.195,1
547,195.235,195.456,1
548,195.976,196.356,1
549,196.436,196.657,1
550,196.697,197.057,1
551,197.097,197.237,1
552,197.257,197.337,1
553,197.357,197.417,1
554,197.437,197.537,1
555,197.557,197.617,1
556,197.638,197.718,1
557,197.738,198.158,1
558,198.558,198.899,0
559,199.079,199.199,0
560,199.239,199.299,0
561,199.339,199.479,0
562,199.499,199.679,0
563,199.699,199.82,0
564,199.88,200.24,0
565,200.66,200.9,0
566,200.921,201.081,0
567,201.101,201.401,0
568,201.461,201.601,0
569,201.701,201.921,0
570,201.961,202.042,0
571,202.062,202.442,0
572,202.462,202.722,0
573,202.742,202.762,0
574,202.782,202.882,0
575,202.902,203.143,0
576,203.183,203.243,0
577,203.283,203.443,0
578,203.483,203.683,0
579,204.964,206.866,0
580,206.966,207.046,0
581,207.086,207.326,0
582,207.627,207.747,0
583,207.787,207.807,0
584,207.847,208.167,0
585,208.187,208.247,0
586,208.287,208.547,0
587,208.608,208.828,0
588,210.509,210.589,1
589,210.609,210.77,1
590,210.79,210.99,1
591,211.01,211.19,1
592,211.21,211.65,1
593,211.69,211.911,1
594,212.251,212.491,1
595,212.571,212.651,1
596,212.711,212.891,1
597,212.911,213.072,0
598,213.092,213.292,0
599,213.312,213.392,0
600,213.432,213.772,0
601,213.832,214.053,0
602,214.093,214.293,0
603,214.313,214.533,0
604,214.573,214.693,0
605,214.713,214.813,0
606,214.853,214.913,0
607,214.933,215.053,0
608,215.093,215.174,0
609,216.762,216.962,0
610,217.002,217.263,0
611,217.963,218.303,0
612,218.343,218.403,0
613,218.423,218.543,0
614,218.564,218.944,0
615,219.104,219.184,1
616,219.204,219.524,1
617,219.985,220.225,1
618,220.785,221.005,1
